No.;Kecamatan;2016;2017;2018;2019;2020;2021;2022
1. ;Semarang Tengah;Jumlah : 2 (Kampung Miroto Paru-parune Kutho, Kampung Lunpia);Jumlah : 5 (Kampung Tempo Dulu,Kampung Kerajinan,Kampung Bustaman RT 05 RW 06 Purwodinatan Kampung Gule Bustaman, Kampung Home Industry,Kampung Pompa Kauman,Kampung Kreatif Dan Jajanan);Jumlah : 8 (Kampung Mie Ayam, Soto Ayam dan Nasi Ayam,Kampung Bagilo (Bakul Gilo-Gilo),Kampung Masjid Sekayu 1439,Kampung Kelola Sampah,Kampung Jajanan Tempo Dulu,Kampung Kamboja,Kampung Ilmu,Kampung Fotografi);0;0;0;0
2. ;Semarang Utara;Jumlah : 2 (Kampung Sehat Ramah Anak, Kampung Hidroponik;Jumlah : 5 (Kampung Petani Kota,Kampung Kuliner Nasi Ayam,Kampung Kuliner Ikan Panggang,Kampung Usaha Kecil,Kampung Edukasi Ramah Anak);Jumlah : 2 (Kampung Manuk,Kampung 3 Dimensi);0;0;Jumlah : 1 (Kampung Ijo);Jumlah : 4 (Kampung Mangrove Edupark,Kampung Tanaman Hias,Kampung Las Kenteng,Kampung Hijau Peduli Sampah)
3. ;Semarang Selatan;Jumlah : 2 (Kampung Tahu Tempe Gumregah,Kampung Jahe) ;Jumlah : 5 (Kampung Hayu Siwi,Kampung Viaduct Asri,Kampung Bunga Ronce Dan Bunga Tabur,Kampung Criping,Kampung Aneka Upa Karya);Jumlah : 3 (Kampung 3 Dimensi, Kampung Wisata Religi Mbah Kramat Jati,Kampung Sirih Asri);0;0;Jumlah : 1 (Kampung Ikan dan Sayuran Tersenyum);0
4. ;Semarang Timur;Jumlah : 2 (Kampung Batik,Kampung Ciliwung Gumregah);Jumlah : 5 (Kampung Terampil,Kampung Eduwisata Lunpia,Kampung Jajanan Tradisional,Kampung Kreatif Dan Inovatif,Kampung Tas Leduwi);Jumlah : 3 (Kampung Ramah Lansia,Kampung Slamet Ramah Keluarga,Kampung Ramah Anak);"Jumlah : 5 (Kampung Selfie,Kampung Cimandiri Bawang Goreng,Kampung Produsen Ayam Goreng,Kampung Javaneer Smart (Jajan Pasar dan
Variasi Souveneer Semarang Timur,Kampung Teh Daun Tin)";Jumlah : 1 (Kampung Logam);0;0
5.;Semarang Barat;Jumlah : 2 (Kampung Agro,Kampung Pelayanan);Jumlah : 5 (Kampung Tabulapot,Kampung Bandeng,Kampung Pilah Sampah,Kampung Agromina,Kampung Pertanian Kota);Jumlah : 9 (Kampung Ramah Anak,Kampung Aneka Olahan Singkong,Kampung Rajut,Kampung Wisata Naga, Kampung Aneka Usaha,Kampung Rames Wungkus,Kampung Aneka Usaha,Kampung Penjahit,Kampung Cinderamata);"Jumlah : 8 (Kampung Mangga,Kampung Petani Kota,Kampung Tempe,Kampung Kuliner Petis Telur dan Mangut
Sembilang,Kampung Seni dan Budaya,Kampung Toga,Kampung Herbal,Kampung Aneka Kuliner)";0;0;0
6. ;Ngaliyan;Jumlah : 2 (Kampung Serasi Berimbang,Kampung Bringin Berseri);Jumlah : 5 (Kampung Jambu Kristal,Kampung Snack Mayangsari,Kampung Criping,Kampung Ramah Keluarga,Kampung Souvenir);Jumlah : 3 (Kampung Olahan Gadung,Kampung Sulam Pita,Kampung Olahan Singkong);Jumlah : 1 (Kampung Jajanan Pasar,Kampung Lele,Kampung Jajanan Pasar,Kampung Furniture Ban,Kampung Santri 2);Jumlah : 1 (Kampung Wisata Air River Tubing Mayangsari);0;Jumlah : 1 (Kampung Silandak Kuliner (Sikuner))
7. ;Tugu;Jumlah : 2 (Kampung Mangut,Kampung Keset Perca);Jumlah : 5 (Kampung Bandeng,Kampung Pilah Sampah,Kampung Ramah Anak,Kampung Kampung Jajanan,Kampung Ramah Keluarga);0;0;Jumlah : 1 (Kampung Gerbang Elok);Jumlah : 1 (Kampung Gerdu Lampah);0
8. ;Mijen;Jumlah : 2 (Kampung Anggrek,Kampung Jamu);Jumlah : 5 (Kampung Anyaman Bambu, Kampung Buah,Kampung Durian,Kampung Pandai Besi,Kampung Labu);Jumlah : 7 (Kampung Sayur,Karangmalang Kampung Buah Naga,Kampung Tape Ketan,Kampung Wisata Sawah dan Burung Hantu,Kampung Mebel,Kampung Jajanan,Kampung Ketela Pohon);Jumlah : 3 (Kampung Konveksi,Kampung Go Green Djadoel,Kampung Ceplok Piring);Jumlah : 3 (Kampung Organik Rejosari,Kampung Peternakan Sapi Kamia,Kampung Kewirausahaan,); Jumlah  : 6 (Kampung Ranting Pelangi,Kampung Sepakbola Leri,Kampung Edukasi Omah Ampiran,Kampung Flora,Kampung Wisata Embung,Kampung Edukasi Pertanian);Jumlah : 1 (Kampung Budaya Dawung)
9.;Genuk;Jumlah : 2 (Kampung Jajan Pasar,Kampung Bebas Jentik);Jumlah : 5 (Kampung Buah Mangga,Kampung Karya Usaha,Kampung Mangga,Kampung Rindang Jambu,Kampung Ngablak,Kampung Jahe Herbal);Jumlah : 6 (Kampung Pengrajin Masker,Kampung Sulam Pita,Kampung Olahan Ikan, Kampung Aneka Jahit,Kampung Wisata Religi Jumadil Kubro,Kampung Keterampilan Merajut,Kampung Bonggol Pisang);0;Jumlah : 6 (Kampung Rempah-rempah,Kampung Widuri,Kampung Aneka Olahan Buah,Kampung KB,Kampung Ngaji dan Literasi,Kampung Jajanan Semarangan);Jumlah : 3 (Kampung Kreasi Olahan Kayu,Kampung Bonsai,Kampung Wirausaha);0
10.;Pedurungan;Jumlah : 2 (Kampung Seni,Kampung Sari Mulyo);Jumlah : 5 (Kampung Serabi,Kampung Home Industry,Kampung Handycraft,Kampung Wingko Dan Donat,Kampung Santri);Jumlah : 5 (Kampung Bonggol Pisang,Kampung Rebung,Kampung Kinclong (Kerajinan Pipa Cangklong),Kampung Krupuk Gendar,Kampung Tas dan Sepatu);Jumlah : 5 (Kampung Bubur,Kampung Pilah Sampah);0;0;0
